subject,image_file,mask_file,label,z,y,x,positive_voxels
sub-305,sub-305_negative_00035_z80_y24_x44.npy,sub-305_negative_00035_z80_y24_x44.npy,0,80,24,44,0
sub-305,sub-305_negative_00036_z16_y0_x48.npy,sub-305_negative_00036_z16_y0_x48.npy,0,16,0,48,0
sub-305,sub-305_negative_00037_z32_y56_x80.npy,sub-305_negative_00037_z32_y56_x80.npy,0,32,56,80,0
sub-305,sub-305_negative_00038_z16_y32_x136.npy,sub-305_negative_00038_z16_y32_x136.npy,0,16,32,136,0
sub-305,sub-305_negative_00039_z72_y72_x76.npy,sub-305_negative_00039_z72_y72_x76.npy,0,72,72,76,0
sub-305,sub-305_negative_00040_z16_y88_x112.npy,sub-305_negative_00040_z16_y88_x112.npy,0,16,88,112,0
sub-305,sub-305_negative_00041_z48_y112_x124.npy,sub-305_negative_00041_z48_y112_x124.npy,0,48,112,124,0
sub-305,sub-305_negative_00042_z40_y152_x28.npy,sub-305_negative_00042_z40_y152_x28.npy,0,40,152,28,0
sub-305,sub-305_negative_00043_z80_y160_x180.npy,sub-305_negative_00043_z80_y160_x180.npy,0,80,160,180,0
sub-305,sub-305_negative_00044_z32_y200_x76.npy,sub-305_negative_00044_z32_y200_x76.npy,0,32,200,76,0
sub-305,sub-305_negative_00045_z72_y8_x40.npy,sub-305_negative_00045_z72_y8_x40.npy,0,72,8,40,0
sub-305,sub-305_negative_00046_z80_y200_x84.npy,sub-305_negative_00046_z80_y200_x84.npy,0,80,200,84,0
sub-305,sub-305_negative_00047_z16_y144_x248.npy,sub-305_negative_00047_z16_y144_x248.npy,0,16,144,248,0
sub-305,sub-305_negative_00048_z88_y120_x240.npy,sub-305_negative_00048_z88_y120_x240.npy,0,88,120,240,0
sub-305,sub-305_negative_00049_z96_y136_x92.npy,sub-305_negative_00049_z96_y136_x92.npy,0,96,136,92,0
sub-305,sub-305_negative_00050_z16_y232_x104.npy,sub-305_negative_00050_z16_y232_x104.npy,0,16,232,104,0
sub-305,sub-305_negative_00051_z88_y240_x60.npy,sub-305_negative_00051_z88_y240_x60.npy,0,88,240,60,0
sub-305,sub-305_negative_00052_z88_y144_x60.npy,sub-305_negative_00052_z88_y144_x60.npy,0,88,144,60,0
sub-305,sub-305_negative_00053_z8_y160_x148.npy,sub-305_negative_00053_z8_y160_x148.npy,0,8,160,148,0
sub-305,sub-305_negative_00054_z16_y16_x208.npy,sub-305_negative_00054_z16_y16_x208.npy,0,16,16,208,0
sub-305,sub-305_negative_00055_z80_y216_x104.npy,sub-305_negative_00055_z80_y216_x104.npy,0,80,216,104,0
sub-305,sub-305_negative_00056_z80_y80_x96.npy,sub-305_negative_00056_z80_y80_x96.npy,0,80,80,96,0
sub-305,sub-305_negative_00057_z16_y112_x92.npy,sub-305_negative_00057_z16_y112_x92.npy,0,16,112,92,0
sub-305,sub-305_negative_00058_z72_y208_x192.npy,sub-305_negative_00058_z72_y208_x192.npy,0,72,208,192,0
sub-305,sub-305_negative_00059_z8_y200_x108.npy,sub-305_negative_00059_z8_y200_x108.npy,0,8,200,108,0
sub-305,sub-305_negative_00060_z24_y24_x152.npy,sub-305_negative_00060_z24_y24_x152.npy,0,24,24,152,0
sub-305,sub-305_negative_00061_z56_y48_x32.npy,sub-305_negative_00061_z56_y48_x32.npy,0,56,48,32,0
sub-305,sub-305_negative_00062_z72_y24_x48.npy,sub-305_negative_00062_z72_y24_x48.npy,0,72,24,48,0
sub-305,sub-305_negative_00063_z48_y200_x164.npy,sub-305_negative_00063_z48_y200_x164.npy,0,48,200,164,0
sub-305,sub-305_negative_00064_z56_y16_x100.npy,sub-305_negative_00064_z56_y16_x100.npy,0,56,16,100,0
sub-305,sub-305_negative_00065_z24_y184_x80.npy,sub-305_negative_00065_z24_y184_x80.npy,0,24,184,80,0
sub-305,sub-305_negative_00066_z88_y184_x124.npy,sub-305_negative_00066_z88_y184_x124.npy,0,88,184,124,0
sub-305,sub-305_negative_00067_z80_y40_x208.npy,sub-305_negative_00067_z80_y40_x208.npy,0,80,40,208,0
sub-305,sub-305_negative_00068_z64_y80_x224.npy,sub-305_negative_00068_z64_y80_x224.npy,0,64,80,224,0
sub-305,sub-305_negative_00069_z72_y240_x104.npy,sub-305_negative_00069_z72_y240_x104.npy,0,72,240,104,0
sub-305,sub-305_negative_00070_z8_y48_x20.npy,sub-305_negative_00070_z8_y48_x20.npy,0,8,48,20,0
sub-305,sub-305_negative_00071_z80_y232_x44.npy,sub-305_negative_00071_z80_y232_x44.npy,0,80,232,44,0
sub-305,sub-305_negative_00072_z56_y24_x24.npy,sub-305_negative_00072_z56_y24_x24.npy,0,56,24,24,0
sub-305,sub-305_negative_00073_z40_y8_x76.npy,sub-305_negative_00073_z40_y8_x76.npy,0,40,8,76,0
sub-305,sub-305_negative_00074_z40_y184_x116.npy,sub-305_negative_00074_z40_y184_x116.npy,0,40,184,116,0
sub-305,sub-305_negative_00075_z48_y40_x192.npy,sub-305_negative_00075_z48_y40_x192.npy,0,48,40,192,0
sub-305,sub-305_negative_00076_z64_y40_x204.npy,sub-305_negative_00076_z64_y40_x204.npy,0,64,40,204,0
sub-305,sub-305_negative_00077_z0_y216_x92.npy,sub-305_negative_00077_z0_y216_x92.npy,0,0,216,92,0
sub-305,sub-305_negative_00078_z72_y208_x204.npy,sub-305_negative_00078_z72_y208_x204.npy,0,72,208,204,0
sub-305,sub-305_negative_00079_z16_y232_x112.npy,sub-305_negative_00079_z16_y232_x112.npy,0,16,232,112,0
sub-305,sub-305_negative_00080_z64_y112_x236.npy,sub-305_negative_00080_z64_y112_x236.npy,0,64,112,236,0
sub-305,sub-305_negative_00081_z88_y160_x228.npy,sub-305_negative_00081_z88_y160_x228.npy,0,88,160,228,0
sub-305,sub-305_negative_00082_z64_y208_x248.npy,sub-305_negative_00082_z64_y208_x248.npy,0,64,208,248,0
sub-305,sub-305_negative_00083_z32_y184_x188.npy,sub-305_negative_00083_z32_y184_x188.npy,0,32,184,188,0
sub-305,sub-305_negative_00084_z40_y192_x124.npy,sub-305_negative_00084_z40_y192_x124.npy,0,40,192,124,0
sub-305,sub-305_negative_00085_z48_y0_x156.npy,sub-305_negative_00085_z48_y0_x156.npy,0,48,0,156,0
sub-305,sub-305_negative_00086_z96_y0_x100.npy,sub-305_negative_00086_z96_y0_x100.npy,0,96,0,100,0
sub-305,sub-305_negative_00087_z48_y160_x96.npy,sub-305_negative_00087_z48_y160_x96.npy,0,48,160,96,0
sub-305,sub-305_negative_00088_z72_y128_x152.npy,sub-305_negative_00088_z72_y128_x152.npy,0,72,128,152,0
sub-305,sub-305_negative_00089_z72_y160_x52.npy,sub-305_negative_00089_z72_y160_x52.npy,0,72,160,52,0
sub-305,sub-305_negative_00090_z40_y48_x240.npy,sub-305_negative_00090_z40_y48_x240.npy,0,40,48,240,0
sub-305,sub-305_negative_00091_z32_y200_x44.npy,sub-305_negative_00091_z32_y200_x44.npy,0,32,200,44,0
sub-305,sub-305_negative_00092_z80_y0_x200.npy,sub-305_negative_00092_z80_y0_x200.npy,0,80,0,200,0
sub-305,sub-305_negative_00093_z0_y240_x196.npy,sub-305_negative_00093_z0_y240_x196.npy,0,0,240,196,0
sub-305,sub-305_negative_00094_z64_y64_x196.npy,sub-305_negative_00094_z64_y64_x196.npy,0,64,64,196,0
sub-305,sub-305_negative_00095_z64_y216_x44.npy,sub-305_negative_00095_z64_y216_x44.npy,0,64,216,44,0
sub-305,sub-305_negative_00096_z80_y176_x200.npy,sub-305_negative_00096_z80_y176_x200.npy,0,80,176,200,0
sub-305,sub-305_negative_00097_z8_y24_x140.npy,sub-305_negative_00097_z8_y24_x140.npy,0,8,24,140,0
sub-305,sub-305_negative_00098_z24_y144_x104.npy,sub-305_negative_00098_z24_y144_x104.npy,0,24,144,104,0
sub-305,sub-305_negative_00099_z8_y64_x52.npy,sub-305_negative_00099_z8_y64_x52.npy,0,8,64,52,0
sub-305,sub-305_negative_00100_z96_y144_x92.npy,sub-305_negative_00100_z96_y144_x92.npy,0,96,144,92,0
sub-305,sub-305_negative_00101_z72_y200_x232.npy,sub-305_negative_00101_z72_y200_x232.npy,0,72,200,232,0
sub-305,sub-305_negative_00102_z0_y136_x172.npy,sub-305_negative_00102_z0_y136_x172.npy,0,0,136,172,0
sub-305,sub-305_negative_00103_z88_y24_x200.npy,sub-305_negative_00103_z88_y24_x200.npy,0,88,24,200,0
sub-305,sub-305_negative_00104_z72_y16_x204.npy,sub-305_negative_00104_z72_y16_x204.npy,0,72,16,204,0
sub-305,sub-305_negative_00105_z40_y160_x148.npy,sub-305_negative_00105_z40_y160_x148.npy,0,40,160,148,0
sub-305,sub-305_negative_00106_z88_y32_x24.npy,sub-305_negative_00106_z88_y32_x24.npy,0,88,32,24,0
sub-305,sub-305_negative_00107_z16_y128_x96.npy,sub-305_negative_00107_z16_y128_x96.npy,0,16,128,96,0
sub-305,sub-305_negative_00108_z32_y176_x148.npy,sub-305_negative_00108_z32_y176_x148.npy,0,32,176,148,0
sub-305,sub-305_negative_00109_z0_y200_x180.npy,sub-305_negative_00109_z0_y200_x180.npy,0,0,200,180,0
sub-305,sub-305_negative_00110_z8_y48_x216.npy,sub-305_negative_00110_z8_y48_x216.npy,0,8,48,216,0
sub-305,sub-305_negative_00111_z48_y120_x60.npy,sub-305_negative_00111_z48_y120_x60.npy,0,48,120,60,0
sub-305,sub-305_negative_00112_z96_y152_x204.npy,sub-305_negative_00112_z96_y152_x204.npy,0,96,152,204,0
sub-305,sub-305_negative_00113_z40_y168_x116.npy,sub-305_negative_00113_z40_y168_x116.npy,0,40,168,116,0
sub-305,sub-305_negative_00114_z32_y8_x240.npy,sub-305_negative_00114_z32_y8_x240.npy,0,32,8,240,0
sub-305,sub-305_negative_00115_z80_y112_x76.npy,sub-305_negative_00115_z80_y112_x76.npy,0,80,112,76,0
sub-305,sub-305_negative_00116_z64_y48_x32.npy,sub-305_negative_00116_z64_y48_x32.npy,0,64,48,32,0
sub-305,sub-305_negative_00117_z64_y192_x200.npy,sub-305_negative_00117_z64_y192_x200.npy,0,64,192,200,0
sub-305,sub-305_negative_00118_z48_y24_x64.npy,sub-305_negative_00118_z48_y24_x64.npy,0,48,24,64,0
sub-305,sub-305_negative_00119_z80_y32_x36.npy,sub-305_negative_00119_z80_y32_x36.npy,0,80,32,36,0
sub-305,sub-305_negative_00120_z40_y80_x156.npy,sub-305_negative_00120_z40_y80_x156.npy,0,40,80,156,0
sub-305,sub-305_negative_00121_z32_y144_x192.npy,sub-305_negative_00121_z32_y144_x192.npy,0,32,144,192,0
sub-305,sub-305_negative_00122_z72_y160_x204.npy,sub-305_negative_00122_z72_y160_x204.npy,0,72,160,204,0
sub-305,sub-305_negative_00123_z8_y168_x108.npy,sub-305_negative_00123_z8_y168_x108.npy,0,8,168,108,0
sub-305,sub-305_negative_00124_z64_y224_x132.npy,sub-305_negative_00124_z64_y224_x132.npy,0,64,224,132,0
sub-305,sub-305_negative_00125_z32_y72_x40.npy,sub-305_negative_00125_z32_y72_x40.npy,0,32,72,40,0
sub-305,sub-305_negative_00126_z8_y32_x220.npy,sub-305_negative_00126_z8_y32_x220.npy,0,8,32,220,0
sub-305,sub-305_negative_00127_z56_y80_x128.npy,sub-305_negative_00127_z56_y80_x128.npy,0,56,80,128,0
sub-305,sub-305_negative_00128_z40_y208_x48.npy,sub-305_negative_00128_z40_y208_x48.npy,0,40,208,48,0
sub-305,sub-305_negative_00129_z80_y200_x108.npy,sub-305_negative_00129_z80_y200_x108.npy,0,80,200,108,0
sub-208,sub-208_positive_00000_z80_y56_x100.npy,sub-208_positive_00000_z80_y56_x100.npy,1,80,56,100,11
sub-208,sub-208_positive_00001_z80_y56_x104.npy,sub-208_positive_00001_z80_y56_x104.npy,1,80,56,104,11
sub-208,sub-208_positive_00002_z80_y64_x100.npy,sub-208_positive_00002_z80_y64_x100.npy,1,80,64,100,11
sub-208,sub-208_positive_00003_z80_y64_x104.npy,sub-208_positive_00003_z80_y64_x104.npy,1,80,64,104,11
sub-208,sub-208_positive_00004_z88_y56_x100.npy,sub-208_positive_00004_z88_y56_x100.npy,1,88,56,100,11
sub-208,sub-208_positive_00005_z88_y56_x104.npy,sub-208_positive_00005_z88_y56_x104.npy,1,88,56,104,11
sub-208,sub-208_positive_00006_z88_y64_x100.npy,sub-208_positive_00006_z88_y64_x100.npy,1,88,64,100,11
sub-208,sub-208_positive_00007_z88_y64_x104.npy,sub-208_positive_00007_z88_y64_x104.npy,1,88,64,104,11
sub-208,sub-208_negative_00008_z56_y200_x212.npy,sub-208_negative_00008_z56_y200_x212.npy,0,56,200,212,0
sub-208,sub-208_negative_00009_z128_y216_x116.npy,sub-208_negative_00009_z128_y216_x116.npy,0,128,216,116,0
sub-208,sub-208_negative_00010_z96_y8_x124.npy,sub-208_negative_00010_z96_y8_x124.npy,0,96,8,124,0
sub-208,sub-208_negative_00011_z64_y88_x148.npy,sub-208_negative_00011_z64_y88_x148.npy,0,64,88,148,0
sub-208,sub-208_negative_00012_z64_y16_x164.npy,sub-208_negative_00012_z64_y16_x164.npy,0,64,16,164,0
sub-208,sub-208_negative_00013_z104_y232_x172.npy,sub-208_negative_00013_z104_y232_x172.npy,0,104,232,172,0
sub-208,sub-208_negative_00014_z16_y184_x44.npy,sub-208_negative_00014_z16_y184_x44.npy,0,16,184,44,0
sub-208,sub-208_negative_00015_z40_y200_x176.npy,sub-208_negative_00015_z40_y200_x176.npy,0,40,200,176,0
sub-208,sub-208_negative_00016_z16_y232_x8.npy,sub-208_negative_00016_z16_y232_x8.npy,0,16,232,8,0
sub-208,sub-208_negative_00017_z96_y208_x112.npy,sub-208_negative_00017_z96_y208_x112.npy,0,96,208,112,0
sub-208,sub-208_negative_00018_z24_y64_x76.npy,sub-208_negative_00018_z24_y64_x76.npy,0,24,64,76,0
sub-208,sub-208_negative_00019_z64_y224_x88.npy,sub-208_negative_00019_z64_y224_x88.npy,0,64,224,88,0
sub-208,sub-208_negative_00020_z56_y184_x20.npy,sub-208_negative_00020_z56_y184_x20.npy,0,56,184,20,0
sub-208,sub-208_negative_00021_z112_y184_x80.npy,sub-208_negative_00021_z112_y184_x80.npy,0,112,184,80,0
sub-208,sub-208_negative_00022_z48_y152_x196.npy,sub-208_negative_00022_z48_y152_x196.npy,0,48,152,196,0
sub-208,sub-208_negative_00023_z96_y120_x136.npy,sub-208_negative_00023_z96_y120_x136.npy,0,96,120,136,0
sub-208,sub-208_negative_00024_z112_y232_x72.npy,sub-208_negative_00024_z112_y232_x72.npy,0,112,232,72,0
sub-208,sub-208_negative_00025_z24_y144_x112.npy,sub-208_negative_00025_z24_y144_x112.npy,0,24,144,112,0
sub-208,sub-208_negative_00026_z120_y224_x128.npy,sub-208_negative_00026_z120_y224_x128.npy,0,120,224,128,0
sub-208,sub-208_negative_00027_z136_y88_x216.npy,sub-208_negative_00027_z136_y88_x216.npy,0,136,88,216,0
sub-208,sub-208_negative_00028_z32_y16_x100.npy,sub-208_negative_00028_z32_y16_x100.npy,0,32,16,100,0
sub-208,sub-208_negative_00029_z128_y136_x140.npy,sub-208_negative_00029_z128_y136_x140.npy,0,128,136,140,0
sub-208,sub-208_negative_00030_z128_y8_x128.npy,sub-208_negative_00030_z128_y8_x128.npy,0,128,8,128,0
sub-208,sub-208_negative_00031_z16_y64_x240.npy,sub-208_negative_00031_z16_y64_x240.npy,0,16,64,240,0
sub-208,sub-208_negative_00032_z16_y208_x172.npy,sub-208_negative_00032_z16_y208_x172.npy,0,16,208,172,0
sub-208,sub-208_negative_00033_z120_y16_x88.npy,sub-208_negative_00033_z120_y16_x88.npy,0,120,16,88,0
sub-208,sub-208_negative_00034_z112_y72_x76.npy,sub-208_negative_00034_z112_y72_x76.npy,0,112,72,76,0
sub-208,sub-208_negative_00035_z24_y96_x48.npy,sub-208_negative_00035_z24_y96_x48.npy,0,24,96,48,0
sub-208,sub-208_negative_00036_z104_y152_x184.npy,sub-208_negative_00036_z104_y152_x184.npy,0,104,152,184,0
sub-208,sub-208_negative_00037_z16_y120_x108.npy,sub-208_negative_00037_z16_y120_x108.npy,0,16,120,108,0
sub-208,sub-208_negative_00038_z32_y72_x76.npy,sub-208_negative_00038_z32_y72_x76.npy,0,32,72,76,0
sub-208,sub-208_negative_00039_z72_y224_x192.npy,sub-208_negative_00039_z72_y224_x192.npy,0,72,224,192,0
sub-208,sub-208_negative_00040_z96_y144_x4.npy,sub-208_negative_00040_z96_y144_x4.npy,0,96,144,4,0
sub-208,sub-208_negative_00041_z72_y104_x112.npy,sub-208_negative_00041_z72_y104_x112.npy,0,72,104,112,0
sub-208,sub-208_negative_00042_z72_y184_x200.npy,sub-208_negative_00042_z72_y184_x200.npy,0,72,184,200,0
sub-208,sub-208_negative_00043_z40_y40_x156.npy,sub-208_negative_00043_z40_y40_x156.npy,0,40,40,156,0
sub-208,sub-208_negative_00044_z128_y64_x124.npy,sub-208_negative_00044_z128_y64_x124.npy,0,128,64,124,0
sub-208,sub-208_negative_00045_z112_y24_x100.npy,sub-208_negative_00045_z112_y24_x100.npy,0,112,24,100,0
sub-208,sub-208_negative_00046_z88_y128_x232.npy,sub-208_negative_00046_z88_y128_x232.npy,0,88,128,232,0
sub-208,sub-208_negative_00047_z104_y192_x128.npy,sub-208_negative_00047_z104_y192_x128.npy,0,104,192,128,0
sub-208,sub-208_negative_00048_z8_y152_x156.npy,sub-208_negative_00048_z8_y152_x156.npy,0,8,152,156,0
sub-208,sub-208_negative_00049_z120_y32_x104.npy,sub-208_negative_00049_z120_y32_x104.npy,0,120,32,104,0
sub-208,sub-208_negative_00050_z72_y192_x168.npy,sub-208_negative_00050_z72_y192_x168.npy,0,72,192,168,0
sub-208,sub-208_negative_00051_z48_y232_x36.npy,sub-208_negative_00051_z48_y232_x36.npy,0,48,232,36,0
sub-208,sub-208_negative_00052_z56_y224_x212.npy,sub-208_negative_00052_z56_y224_x212.npy,0,56,224,212,0
sub-208,sub-208_negative_00053_z64_y128_x152.npy,sub-208_negative_00053_z64_y128_x152.npy,0,64,128,152,0
sub-208,sub-208_negative_00054_z88_y72_x232.npy,sub-208_negative_00054_z88_y72_x232.npy,0,88,72,232,0
sub-208,sub-208_negative_00055_z8_y48_x148.npy,sub-208_negative_00055_z8_y48_x148.npy,0,8,48,148,0
sub-208,sub-208_negative_00056_z104_y152_x236.npy,sub-208_negative_00056_z104_y152_x236.npy,0,104,152,236,0
sub-208,sub-208_negative_00057_z136_y232_x152.npy,sub-208_negative_00057_z136_y232_x152.npy,0,136,232,152,0
sub-208,sub-208_negative_00058_z88_y176_x112.npy,sub-208_negative_00058_z88_y176_x112.npy,0,88,176,112,0
sub-208,sub-208_negative_00059_z128_y32_x220.npy,sub-208_negative_00059_z128_y32_x220.npy,0,128,32,220,0
sub-208,sub-208_negative_00060_z96_y64_x104.npy,sub-208_negative_00060_z96_y64_x104.npy,0,96,64,104,0
sub-208,sub-208_negative_00061_z48_y136_x172.npy,sub-208_negative_00061_z48_y136_x172.npy,0,48,136,172,0
sub-208,sub-208_negative_00062_z64_y0_x52.npy,sub-208_negative_00062_z64_y0_x52.npy,0,64,0,52,0
sub-208,sub-208_negative_00063_z64_y72_x176.npy,sub-208_negative_00063_z64_y72_x176.npy,0,64,72,176,0
sub-208,sub-208_negative_00064_z128_y152_x72.npy,sub-208_negative_00064_z128_y152_x72.npy,0,128,152,72,0
sub-208,sub-208_negative_00065_z72_y48_x88.npy,sub-208_negative_00065_z72_y48_x88.npy,0,72,48,88,0
sub-208,sub-208_negative_00066_z104_y48_x68.npy,sub-208_negative_00066_z104_y48_x68.npy,0,104,48,68,0
sub-208,sub-208_negative_00067_z104_y80_x232.npy,sub-208_negative_00067_z104_y80_x232.npy,0,104,80,232,0
sub-208,sub-208_negative_00068_z56_y48_x184.npy,sub-208_negative_00068_z56_y48_x184.npy,0,56,48,184,0
sub-208,sub-208_negative_00069_z48_y152_x172.npy,sub-208_negative_00069_z48_y152_x172.npy,0,48,152,172,0
sub-208,sub-208_negative_00070_z104_y208_x176.npy,sub-208_negative_00070_z104_y208_x176.npy,0,104,208,176,0
sub-208,sub-208_negative_00071_z8_y88_x40.npy,sub-208_negative_00071_z8_y88_x40.npy,0,8,88,40,0
sub-208,sub-208_negative_00072_z88_y104_x216.npy,sub-208_negative_00072_z88_y104_x216.npy,0,88,104,216,0
sub-208,sub-208_negative_00073_z96_y64_x136.npy,sub-208_negative_00073_z96_y64_x136.npy,0,96,64,136,0
sub-208,sub-208_negative_00074_z112_y208_x24.npy,sub-208_negative_00074_z112_y208_x24.npy,0,112,208,24,0
sub-208,sub-208_negative_00075_z8_y128_x64.npy,sub-208_negative_00075_z8_y128_x64.npy,0,8,128,64,0
sub-208,sub-208_negative_00076_z32_y232_x32.npy,sub-208_negative_00076_z32_y232_x32.npy,0,32,232,32,0
sub-208,sub-208_negative_00077_z8_y176_x112.npy,sub-208_negative_00077_z8_y176_x112.npy,0,8,176,112,0
sub-208,sub-208_negative_00078_z136_y104_x76.npy,sub-208_negative_00078_z136_y104_x76.npy,0,136,104,76,0
sub-208,sub-208_negative_00079_z104_y144_x164.npy,sub-208_negative_00079_z104_y144_x164.npy,0,104,144,164,0
sub-208,sub-208_negative_00080_z0_y184_x148.npy,sub-208_negative_00080_z0_y184_x148.npy,0,0,184,148,0
sub-208,sub-208_negative_00081_z120_y96_x80.npy,sub-208_negative_00081_z120_y96_x80.npy,0,120,96,80,0
sub-208,sub-208_negative_00082_z96_y136_x160.npy,sub-208_negative_00082_z96_y136_x160.npy,0,96,136,160,0
sub-208,sub-208_negative_00083_z56_y192_x216.npy,sub-208_negative_00083_z56_y192_x216.npy,0,56,192,216,0
sub-208,sub-208_negative_00084_z120_y96_x148.npy,sub-208_negative_00084_z120_y96_x148.npy,0,120,96,148,0
sub-208,sub-208_negative_00085_z24_y112_x224.npy,sub-208_negative_00085_z24_y112_x224.npy,0,24,112,224,0
sub-208,sub-208_negative_00086_z48_y128_x44.npy,sub-208_negative_00086_z48_y128_x44.npy,0,48,128,44,0
sub-208,sub-208_negative_00087_z8_y32_x92.npy,sub-208_negative_00087_z8_y32_x92.npy,0,8,32,92,0
sub-208,sub-208_negative_00088_z8_y160_x168.npy,sub-208_negative_00088_z8_y160_x168.npy,0,8,160,168,0
sub-208,sub-208_negative_00089_z64_y232_x116.npy,sub-208_negative_00089_z64_y232_x116.npy,0,64,232,116,0
sub-208,sub-208_negative_00090_z136_y120_x104.npy,sub-208_negative_00090_z136_y120_x104.npy,0,136,120,104,0
sub-208,sub-208_negative_00091_z56_y208_x60.npy,sub-208_negative_00091_z56_y208_x60.npy,0,56,208,60,0
sub-208,sub-208_negative_00092_z40_y144_x140.npy,sub-208_negative_00092_z40_y144_x140.npy,0,40,144,140,0
sub-208,sub-208_negative_00093_z112_y112_x120.npy,sub-208_negative_00093_z112_y112_x120.npy,0,112,112,120,0
sub-208,sub-208_negative_00094_z88_y80_x128.npy,sub-208_negative_00094_z88_y80_x128.npy,0,88,80,128,0
sub-208,sub-208_negative_00095_z96_y40_x132.npy,sub-208_negative_00095_z96_y40_x132.npy,0,96,40,132,0
sub-208,sub-208_negative_00096_z64_y104_x64.npy,sub-208_negative_00096_z64_y104_x64.npy,0,64,104,64,0
sub-208,sub-208_negative_00097_z112_y8_x24.npy,sub-208_negative_00097_z112_y8_x24.npy,0,112,8,24,0
